"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,0.001,0.25,3000,0.424242424242424,0.337837837837838,0.342857142857143,0.27027027027027,0.347222222222222,0.352112676056338,0.405797101449275,0.38961038961039,0.302631578947368,0.394366197183099
"2",1,0.001,0.25,5000,0.439393939393939,0.364864864864865,0.328571428571429,0.283783783783784,0.333333333333333,0.338028169014085,0.391304347826087,0.38961038961039,0.302631578947368,0.408450704225352
"3",1,0.001,0.25,8000,0.439393939393939,0.351351351351351,0.328571428571429,0.256756756756757,0.333333333333333,0.366197183098592,0.391304347826087,0.38961038961039,0.315789473684211,0.422535211267606
"4",1,0.001,0.25,10000,0.439393939393939,0.378378378378378,0.342857142857143,0.27027027027027,0.361111111111111,0.366197183098592,0.420289855072464,0.402597402597403,0.315789473684211,0.422535211267606
"5",1,0.001,0.5,3000,0.439393939393939,0.364864864864865,0.4,0.27027027027027,0.375,0.338028169014085,0.391304347826087,0.38961038961039,0.328947368421053,0.380281690140845
"6",1,0.001,0.5,5000,0.439393939393939,0.351351351351351,0.357142857142857,0.27027027027027,0.375,0.338028169014085,0.405797101449275,0.38961038961039,0.315789473684211,0.366197183098592
"7",1,0.001,0.5,8000,0.454545454545455,0.351351351351351,0.342857142857143,0.256756756756757,0.375,0.380281690140845,0.420289855072464,0.38961038961039,0.315789473684211,0.394366197183099
"8",1,0.001,0.5,10000,0.439393939393939,0.378378378378378,0.357142857142857,0.27027027027027,0.388888888888889,0.352112676056338,0.405797101449275,0.38961038961039,0.328947368421053,0.394366197183099
"9",1,0.001,0.75,3000,0.439393939393939,0.378378378378378,0.342857142857143,0.337837837837838,0.375,0.352112676056338,0.391304347826087,0.363636363636364,0.328947368421053,0.380281690140845
"10",1,0.001,0.75,5000,0.454545454545455,0.351351351351351,0.342857142857143,0.337837837837838,0.375,0.338028169014085,0.449275362318841,0.376623376623377,0.315789473684211,0.394366197183099
"11",1,0.001,0.75,8000,0.439393939393939,0.391891891891892,0.371428571428571,0.337837837837838,0.388888888888889,0.338028169014085,0.420289855072464,0.363636363636364,0.315789473684211,0.394366197183099
"12",1,0.001,0.75,10000,0.439393939393939,0.391891891891892,0.385714285714286,0.337837837837838,0.388888888888889,0.366197183098592,0.420289855072464,0.38961038961039,0.315789473684211,0.380281690140845
"13",1,0.01,0.25,3000,0.454545454545455,0.378378378378378,0.328571428571429,0.297297297297297,0.347222222222222,0.408450704225352,0.492753623188406,0.402597402597403,0.355263157894737,0.450704225352113
"14",1,0.01,0.25,5000,0.46969696969697,0.378378378378378,0.385714285714286,0.324324324324324,0.388888888888889,0.366197183098592,0.478260869565217,0.402597402597403,0.381578947368421,0.492957746478873
"15",1,0.01,0.25,8000,0.484848484848485,0.378378378378378,0.414285714285714,0.337837837837838,0.361111111111111,0.366197183098592,0.492753623188406,0.38961038961039,0.394736842105263,0.507042253521127
"16",1,0.01,0.25,10000,0.484848484848485,0.391891891891892,0.414285714285714,0.337837837837838,0.375,0.352112676056338,0.507246376811594,0.415584415584416,0.407894736842105,0.492957746478873
"17",1,0.01,0.5,3000,0.409090909090909,0.324324324324324,0.328571428571429,0.337837837837838,0.375,0.366197183098592,0.478260869565217,0.402597402597403,0.342105263157895,0.436619718309859
"18",1,0.01,0.5,5000,0.46969696969697,0.337837837837838,0.342857142857143,0.351351351351351,0.361111111111111,0.323943661971831,0.449275362318841,0.428571428571429,0.368421052631579,0.464788732394366
"19",1,0.01,0.5,8000,0.484848484848485,0.324324324324324,0.385714285714286,0.364864864864865,0.388888888888889,0.338028169014085,0.478260869565217,0.441558441558442,0.381578947368421,0.47887323943662
