"","V1","V2","V3","V4","V5","V6","V7"
"1",1,0,0.75354609929078,0.579787234042553,0.179964539007092,0.182624113475177,0.274822695035461
"2",1,0.001,0.24113475177305,0.75709219858156,0.264184397163121,0.185283687943262,0.23936170212766
"3",1,0.01,0.216312056737589,0.234929078014184,0.203900709219858,0.193262411347518,0.176418439716312
"4",1,0.1,0.227836879432624,0.249113475177305,0.288120567375887,0.221631205673759,0.194148936170213
"5",1,1,0.233156028368794,0.247340425531915,0.256205673758865,0.247340425531915,0.291666666666667
"6",2,0,0.75354609929078,0.75709219858156,0.184397163120567,0.210106382978723,0.180851063829787
"7",2,0.001,0.12677304964539,0.163120567375887,0.140070921985816,0.122340425531915,0.157801418439716
"8",2,0.01,0.148049645390071,0.165780141843972,0.122340425531915,0.138297872340426,0.13741134751773
"9",2,0.1,0.101063829787234,0.113475177304965,0.12322695035461,0.110815602836879,0.107269503546099
"10",2,1,0.0975177304964539,0.110815602836879,0.0877659574468085,0.102836879432624,0.104609929078014
"11",3,0,0.148049645390071,0.75709219858156,0.178191489361702,0.112588652482269,0.171099290780142
"12",3,0.001,0.140070921985816,0.163120567375887,0.13741134751773,0.13563829787234,0.191489361702128
"13",3,0.01,0.142730496453901,0.11968085106383,0.138297872340426,0.11968085106383,0.13386524822695
"14",3,0.1,0.112588652482269,0.125886524822695,0.118794326241135,0.101063829787234,0.109042553191489
"15",3,1,0.0691489361702128,0.0797872340425532,0.074468085106383,0.0593971631205674,0.0815602836879433
