"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.001,0.001,1,0,0.745841650033267,0.739188290086494,0.738744732756709,0.737192282102462,0.740297183410956
"2",0.001,0.001,1,1,0.745841650033267,0.739188290086494,0.738744732756709,0.737192282102462,0.740297183410956
"3",0.001,0.001,1,5,0.745841650033267,0.739188290086494,0.738744732756709,0.737192282102462,0.740297183410956
"4",0.001,0.001,2,0,0.745841650033267,0.739188290086494,0.738744732756709,0.737192282102462,0.740297183410956
"5",0.001,0.001,2,1,0.640496784209359,0.639609669549789,0.710578842315369,0.643158128188068,0.696385007762253
"6",0.001,0.001,2,5,0.291860722998448,0.309603016189843,0.309824794854735,0.332224440008871,0.339543135950322
"7",0.001,0.001,3,0,0.745841650033267,0.739188290086494,0.738744732756709,0.737192282102462,0.740297183410956
"8",0.001,0.001,3,1,0.428698159237081,0.457751164337991,0.456642271013529,0.446884009758261,0.454424484364604
"9",0.001,0.001,3,5,0.0980261698824573,0.0953648259037481,0.0911510312707917,0.0958083832335329,0.0993568418718119
"10",0.001,0.01,1,0,0.293856730982479,0.310490130849412,0.308272344200488,0.331559104014194,0.341317365269461
"11",0.001,0.01,1,1,0.293856730982479,0.310490130849412,0.308272344200488,0.331559104014194,0.341317365269461
"12",0.001,0.01,1,5,0.293856730982479,0.310490130849412,0.308272344200488,0.331559104014194,0.341317365269461
"13",0.001,0.01,2,0,0.548902195608782,0.554890219560878,0.568196939454425,0.55688622754491,0.572188955422488
"14",0.001,0.01,2,1,0.165890441339543,0.172987358616101,0.179418939897982,0.166333998669328,0.184963406520293
"15",0.001,0.01,2,5,0.0884896872920825,0.0911510312707917,0.086715457972943,0.0880461299622976,0.0931470392548237
"16",0.001,0.01,3,0,0.675981370592149,0.665779552007097,0.657130184076292,0.657130184076292,0.657573741406077
"17",0.001,0.01,3,1,0.157906409403415,0.145043246839654,0.158571745398093,0.157019294743846,0.164559769350189
"18",0.001,0.01,3,5,0.0647593701485917,0.065424706143269,0.0649811488134841,0.0636504768241295,0.0736305167442892
"19",0.001,0.1,1,0,0.0878243512974052,0.0895985806165447,0.0873807939676203,0.0880461299622976,0.0929252605899313
"20",0.001,0.1,1,1,0.0878243512974052,0.0895985806165447,0.0873807939676203,0.0880461299622976,0.0929252605899313
"21",0.001,0.1,1,5,0.0878243512974052,0.0895985806165447,0.0873807939676203,0.0880461299622976,0.0929252605899313
"22",0.001,0.1,2,0,0.419161676646707,0.425149700598802,0.437791084497671,0.420048791306276,0.433577289864715
"23",0.001,0.1,2,1,0.0754047460634287,0.0782878687070304,0.0771789753825682,0.0767354180527833,0.0849412286538035
"24",0.001,0.1,2,5,0.0636504768241295,0.0643158128188068,0.0643158128188068,0.063872255489022,0.0694167221113329
"25",0.001,0.1,3,0,0.463739188290086,0.470614326901752,0.47771124417831,0.473719228210246,0.477489465513418
"26",0.001,0.1,3,1,0.0700820581060102,0.076070082058106,0.0731869594145043,0.0729651807496119,0.0822798846750943
"27",0.001,0.1,3,5,0.0463517409625194,0.0450210689731648,0.0439121756487026,0.044133954313595,0.0543357728986471
"28",0.001,1,1,0,0.0636504768241295,0.0649811488134841,0.0643158128188068,0.0632069194943446,0.0700820581060102
"29",0.001,1,1,1,0.0636504768241295,0.0649811488134841,0.0643158128188068,0.0632069194943446,0.0700820581060102
"30",0.001,1,1,5,0.0636504768241295,0.0649811488134841,0.0643158128188068,0.0632069194943446,0.0700820581060102
"31",0.001,1,2,0,0.129518740297183,0.128409846972721,0.135950321579064,0.137059214903526,0.143490796185407
"32",0.001,1,2,1,0.0561100022177866,0.0554446662231093,0.058327788866711,0.0587713461964959,0.063872255489022
"33",0.001,1,2,5,0.044133954313595,0.044133954313595,0.0436903969838102,0.0428032823242404,0.0514526502550455
"34",0.001,1,3,0,0.401197604790419,0.400975826125527,0.410734087380794,0.396318474162786,0.411399423375471
"35",0.001,1,3,1,0.0516744289199379,0.0474606342869816,0.0541139942337547,0.0507873142603682,0.0572188955422488
"36",0.001,1,3,5,0.0252827677977379,0.0286094477711244,0.0272787757817698,0.0215125304945664,0.0312707917498337
"37",0.001,10,1,0,0.0454646263029497,0.0470170769571967,0.0445775116433799,0.0416943889997782,0.0536704369039698
