"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2,0,18.5770710970367,290.160816984973,17.7566334150971,303.681841406182,286.410984554263,291.755721671457,295.81784323777,21.2006487481283,321.637934941434,288.952825871679
"2",2,0.001,312.767020287576,290.160884852009,263.268880742319,303.683122496114,19.2852347818643,2022.70160633399,239.687000104556,35.7830817465662,321.637633349065,288.95334761028
"3",2,0.01,19.3487196334967,212.785335664095,18.8672478827174,21.8101972408407,19.3909857645487,19.1788493686855,30.8280596383275,21.2834733767486,164.952845874678,18.4004904301847
"4",2,0.1,19.4884231863035,19.667425592886,19.7360637887967,18.4677734401321,20.1926975809852,22.1876764131312,19.3645762167935,22.2886739483099,20.518785763636,19.8883170231756
"5",2,1,30.8668311685173,44.5335140289938,20.5551671099242,29.0182383069044,25.4837369284888,28.148099768497,23.6556226356304,36.9225732675362,35.309799990804,32.0438476461997
"6",4,0,312.76754195135,290.160817670179,263.269612131593,303.681841611919,18.8451433220759,291.755721806259,19.1543038036783,153.907291988559,321.637935955928,288.952825871695
"7",4,0.001,312.76793464057,290.160281162424,263.268134911137,303.686964417683,286.407908232097,291.756694682532,165.478894718001,341.647956099329,321.637786704633,288.951435940979
"8",4,0.01,20.6626932494067,208.295953556265,21.2880239836866,96.8697677831567,32.9341784798765,23.2815498912675,27.1591968978512,34.1628603494911,26.5042989131289,83.3389561863646
"9",4,0.1,22.7296112639628,74.1494178067792,33.5121223648051,27.815996309857,23.7321625648342,44.026007300163,21.9471705739596,38.1009096761792,34.2032258927872,37.3885116715328
"10",4,1,21.8511867778937,23.3376570820766,20.4482206128831,29.6222314544303,22.7359011448081,21.6362952501846,23.6794080685396,25.8044078419039,22.5117264239097,24.8865331280981
"11",6,0,312.767541920364,19.4866792418339,263.269611905692,303.681841611901,18.8453469094395,291.755721449799,19.1542147779761,290.177934116192,19.5085686437103,288.952825871667
"12",6,0.001,666.98017898479,290.1599789343,263.268588986287,303.681055976002,286.408494205667,291.757133517498,295.816468803701,290.176780812511,29.4902802212318,288.954195898744
"13",6,0.01,224.200208141878,241.533629369361,136.389915463197,120.940105717647,31.9528495074167,43.3498547688688,57.0137232305955,35.7940837654641,104.31114058131,181.540734744869
"14",6,0.1,51.9475186167005,32.7943601678929,30.1690724974769,27.671504951693,37.177946693773,22.3258188069461,29.7771974343239,31.6639168895322,25.9966882218269,29.1526338340259
"15",6,1,23.5959314466288,36.9548633755307,22.0592528240454,47.0596152320533,26.0984696621785,40.4766336707352,23.9968898737679,26.7778842501264,24.2141564208848,22.9889402565934
"16",8,0,18.5770688052037,290.160817544391,263.26961213449,303.681841669268,286.410984416952,291.755723224616,19.1543841050694,290.177933836789,19.5084644583961,288.952825865045
"17",8,0.001,84.0286229418276,290.1591540284,263.268613171664,303.686419268934,145.073940456577,50.1804254728895,175.44570967778,155.16438670372,83.446862599678,131.824170338191
"18",8,0.01,76.0851213976011,129.72043754354,159.289847265677,74.6273399738252,52.4188545790996,108.846876639999,72.4854158605895,83.1844778690766,56.9770180565661,67.3145992941555
"19",8,0.1,72.4634668397578,27.2875453103102,35.2435624628369,43.6334073489861,30.6570359940425,98.8818179282689,36.0976687352945,40.6211075039916,45.3077717589935,33.6193226201253
"20",8,1,24.4643480032559,36.8453520183065,25.9083699528922,30.1428062194186,22.9588816049977,35.6433941188344,22.9926772792861,27.6135289291457,27.5487804022301,23.0331541949909
