"","x"
"1",28.2348247745752
"2",21.0387410933033
"3",19.690335270695
"4",19.4537009323719
"5",29.0926231544476
"6",20.9044898134307
"7",19.2464098230857
"8",18.9894740492648
"9",29.7384296918629
"10",21.2504354440046
"11",19.4241497781948
"12",19.149764971925
"13",19.6038726011257
"14",20.0364578871336
"15",20.619625726569
"16",21.0006753499433
"17",19.1119932804631
"18",19.6104500074513
"19",20.2799784563536
"20",20.6913026740977
"21",19.1951243082489
"22",19.6732488747097
"23",20.3444670901863
"24",20.7312250801461
"25",24.7905899274575
"26",26.2532990301498
"27",27.7469823688766
"28",28.3511802109051
"29",24.1119891014382
"30",25.4122475756389
"31",26.7347395788859
"32",27.2824995982166
"33",23.7744531642483
"34",25.2694239874528
"35",26.7101480894282
"36",27.3755012241438
"37",21.0094856712903
"38",19.3065436431501
"39",19.1439439298925
"40",19.182377714791
"41",20.5145646806731
"42",18.6644910618893
"43",18.5278632745566
"44",18.6028928375624
"45",20.6736364492578
"46",18.7291337050623
"47",18.591965114779
"48",18.6722568709085
"49",20.1149721092137
"50",20.7370823564391
"51",21.3856895694514
"52",21.6778296871722
"53",19.6607742914117
"54",20.294885792809
"55",20.9169933592882
"56",21.1657237784324
"57",19.5981553600346
"58",20.2044353833321
"59",20.7798032786335
"60",21.0072764296304
"61",24.8566430767413
"62",24.9423335670227
"63",24.9582397993186
"64",24.958797253791
"65",22.7269838595894
"66",22.7602656896507
"67",22.7623133710929
"68",22.7623846041451
"69",22.385783671992
"70",22.4022701998593
"71",22.4033144722838
"72",22.4033375374912
"73",20.2708236357038
"74",19.0230470926765
"75",19.0233923593369
"76",19.1084223372759
"77",19.53187877756
"78",18.2946466559448
"79",18.3841900704339
"80",18.511800321843
"81",19.5849654965034
"82",18.3109029548448
"83",18.4475890463097
"84",18.6025755830469
"85",20.0574495594779
"86",20.636970948792
"87",21.0222397055315
"88",21.1568401519365
"89",19.6451877825949
"90",20.1246505164181
"91",20.4514233186004
"92",20.5397112303269
"93",19.6585692667228
"94",20.1212973986827
"95",20.3780467060413
"96",20.4394246305497
"97",24.1626602570054
"98",24.1682982779228
"99",24.1687283066183
"100",24.168774472181
"101",21.97673131926
"102",21.9769448687618
"103",21.9769468668402
"104",21.9769468677187
"105",21.3459748652892
"106",21.3461014471364
"107",21.3461018890801
"108",21.346101889169
"109",20.0235387167337
"110",18.9149776119373
"111",18.9471822068616
"112",19.0440275483495
"113",19.1132100538303
"114",18.0978014736346
"115",18.27917652824
"116",18.4326654546465
"117",19.1848205563958
"118",18.171028582884
"119",18.4017284557975
"120",18.5633373308393
"121",20.1395977516417
"122",20.5907535742069
"123",20.8775794166949
"124",20.9608914838338
"125",19.4666874531489
"126",19.8001124054147
"127",19.9474011594549
"128",19.9737149317381
"129",19.5118601686038
"130",19.7735808514054
"131",19.8748677834814
"132",19.8911631876208
"133",23.5357411659054
"134",23.5384385156683
"135",23.5392259375707
"136",23.539263341738
"137",21.5909345621744
"138",21.590940869241
"139",21.5909408708706
"140",21.5909408708706
"141",20.7415935259128
"142",20.7415943015028
"143",20.7415943016225
"144",20.7415943016225
