"","V1","V2","V3","V4","V5","V6"
"1",5,0.0791728212703102,0.0820346956777418,0.0826865671641791,0.077508043287511,0.080422659230995
"2",16,0.0753323485967504,0.0782122905027933,0.077910447761194,0.077800526469728,0.0760199589081303
"3",50,0.0771048744460857,0.079682446339312,0.0770149253731343,0.0763381105586429,0.0777810390372762
"4",100,0.0771048744460857,0.0776242281681858,0.0761194029850746,0.078093009651945,0.0780745523921338
"5",150,0.0768094534711965,0.0790943840047045,0.0764179104477612,0.0792629423808131,0.0801291458761374
"6",200,0.0782865583456425,0.0799764775066157,0.0782089552238806,0.0813103246563323,0.0786615791018491
